,file,ED,ET,WT
0,BraTS-GoAT-02841.nii.gz,0,0,0
0,BraTS-GoAT-02865.nii.gz,913,32206,33269
0,BraTS-GoAT-02759.nii.gz,42601,14544,57789
0,BraTS-GoAT-02884.nii.gz,22903,0,22903
0,BraTS-GoAT-02609.nii.gz,2056,3640,5702
0,BraTS-GoAT-02668.nii.gz,7427,24372,31814
0,BraTS-GoAT-02806.nii.gz,102149,0,124443
0,BraTS-GoAT-02558.nii.gz,0,0,0
0,BraTS-GoAT-02771.nii.gz,458,363,822
0,BraTS-GoAT-02509.nii.gz,39178,34317,73522
0,BraTS-GoAT-02786.nii.gz,48883,62230,111114
0,BraTS-GoAT-02607.nii.gz,249,2159,2408
0,BraTS-GoAT-02916.nii.gz,28955,13410,42987
0,BraTS-GoAT-02659.nii.gz,0,0,0
0,BraTS-GoAT-02748.nii.gz,20035,9420,30138
0,BraTS-GoAT-02726.nii.gz,38258,21708,65228
0,BraTS-GoAT-02796.nii.gz,0,0,0
0,BraTS-GoAT-02644.nii.gz,1310,0,1310
0,BraTS-GoAT-02844.nii.gz,15324,13960,30997
0,BraTS-GoAT-02824.nii.gz,47117,44610,103521
0,BraTS-GoAT-02766.nii.gz,26692,10416,43449
0,BraTS-GoAT-02643.nii.gz,10377,5682,20893
0,BraTS-GoAT-02613.nii.gz,33857,33765,69907
0,BraTS-GoAT-02579.nii.gz,28738,10932,42915
0,BraTS-GoAT-02819.nii.gz,142318,43054,243784
0,BraTS-GoAT-02938.nii.gz,131735,8769,140511
0,BraTS-GoAT-02871.nii.gz,2836,5106,7962
0,BraTS-GoAT-02583.nii.gz,62834,9992,73750
0,BraTS-GoAT-02840.nii.gz,0,0,0
0,BraTS-GoAT-02597.nii.gz,10950,0,24516
0,BraTS-GoAT-02582.nii.gz,55100,38333,153149
0,BraTS-GoAT-02627.nii.gz,0,0,0
0,BraTS-GoAT-02867.nii.gz,1367,1028,2395
0,BraTS-GoAT-02706.nii.gz,707,15602,27056
0,BraTS-GoAT-02875.nii.gz,152606,0,234199
0,BraTS-GoAT-02616.nii.gz,85461,0,130094
0,BraTS-GoAT-02724.nii.gz,72090,0,72090
0,BraTS-GoAT-02694.nii.gz,125114,7901,141724
0,BraTS-GoAT-02661.nii.gz,51652,5997,60297
0,BraTS-GoAT-02524.nii.gz,41337,40305,107366
0,BraTS-GoAT-02823.nii.gz,10958,10719,23651
0,BraTS-GoAT-02868.nii.gz,82373,44351,216762
0,BraTS-GoAT-02917.nii.gz,48814,90209,141261
0,BraTS-GoAT-02511.nii.gz,106865,11795,120003
0,BraTS-GoAT-02632.nii.gz,28086,13943,45868
0,BraTS-GoAT-02901.nii.gz,1492,8209,9701
0,BraTS-GoAT-02705.nii.gz,24245,32221,68080
0,BraTS-GoAT-02763.nii.gz,21042,48104,89401
0,BraTS-GoAT-02750.nii.gz,0,0,0
0,BraTS-GoAT-02592.nii.gz,78989,12063,94601
0,BraTS-GoAT-02608.nii.gz,131758,19603,154773
0,BraTS-GoAT-02764.nii.gz,9412,0,16063
0,BraTS-GoAT-02681.nii.gz,15699,964,16663
0,BraTS-GoAT-02843.nii.gz,42690,0,42690
0,BraTS-GoAT-02920.nii.gz,517,0,517
0,BraTS-GoAT-02666.nii.gz,15765,24157,42483
0,BraTS-GoAT-02532.nii.gz,35787,7014,47650
0,BraTS-GoAT-02693.nii.gz,32732,7479,115331
0,BraTS-GoAT-02725.nii.gz,63662,11500,79225
0,BraTS-GoAT-02779.nii.gz,30409,0,68619
0,BraTS-GoAT-02589.nii.gz,24652,7526,32582
0,BraTS-GoAT-02855.nii.gz,117117,2938,120927
0,BraTS-GoAT-02527.nii.gz,2033,19564,21904
0,BraTS-GoAT-02633.nii.gz,5450,1665,7115
0,BraTS-GoAT-02517.nii.gz,2256,4963,7261
0,BraTS-GoAT-02734.nii.gz,70207,36524,117301
0,BraTS-GoAT-02845.nii.gz,97451,2686,236059
0,BraTS-GoAT-02663.nii.gz,46875,11454,74174
0,BraTS-GoAT-02804.nii.gz,99540,12974,126962
0,BraTS-GoAT-02870.nii.gz,20570,10646,35333
0,BraTS-GoAT-02893.nii.gz,8747,7096,24460
0,BraTS-GoAT-02537.nii.gz,123137,55289,184112
0,BraTS-GoAT-02747.nii.gz,1930,2846,4776
0,BraTS-GoAT-02787.nii.gz,67022,14389,86898
0,BraTS-GoAT-02885.nii.gz,80569,0,80569
0,BraTS-GoAT-02493.nii.gz,117408,42429,185583
0,BraTS-GoAT-02813.nii.gz,28999,8323,42631
0,BraTS-GoAT-02496.nii.gz,12132,55160,67336
0,BraTS-GoAT-02541.nii.gz,156983,110763,291737
0,BraTS-GoAT-02783.nii.gz,69295,2881,78356
0,BraTS-GoAT-02572.nii.gz,2756,1073,3985
0,BraTS-GoAT-02586.nii.gz,64875,13523,88324
0,BraTS-GoAT-02584.nii.gz,31514,714,55450
0,BraTS-GoAT-02817.nii.gz,38753,5782,49535
0,BraTS-GoAT-02814.nii.gz,45283,58733,135949
0,BraTS-GoAT-02498.nii.gz,149092,51195,238781
0,BraTS-GoAT-02754.nii.gz,43829,36574,80665
0,BraTS-GoAT-02852.nii.gz,32200,12562,48317
0,BraTS-GoAT-02518.nii.gz,290,4947,5237
0,BraTS-GoAT-02933.nii.gz,58727,77539,160270
0,BraTS-GoAT-02762.nii.gz,7847,6923,16480
0,BraTS-GoAT-02676.nii.gz,28854,43635,92722
0,BraTS-GoAT-02902.nii.gz,15339,0,15339
0,BraTS-GoAT-02872.nii.gz,53966,12982,70926
0,BraTS-GoAT-02648.nii.gz,61955,27182,109053
0,BraTS-GoAT-02658.nii.gz,3029,0,3029
0,BraTS-GoAT-02621.nii.gz,12022,1242,13402
0,BraTS-GoAT-02689.nii.gz,78472,6424,87414
0,BraTS-GoAT-02904.nii.gz,120600,62366,207678
0,BraTS-GoAT-02894.nii.gz,68498,0,223623
0,BraTS-GoAT-02888.nii.gz,36202,24591,73763
0,BraTS-GoAT-02898.nii.gz,12585,50617,71479
0,BraTS-GoAT-02722.nii.gz,26292,0,26292
0,BraTS-GoAT-02760.nii.gz,23891,0,23891
0,BraTS-GoAT-02534.nii.gz,90537,43296,146333
0,BraTS-GoAT-02887.nii.gz,47451,10592,58966
0,BraTS-GoAT-02569.nii.gz,50552,1084,51873
0,BraTS-GoAT-02562.nii.gz,38991,13300,53455
0,BraTS-GoAT-02906.nii.gz,37182,2164,182527
0,BraTS-GoAT-02776.nii.gz,11038,52236,63278
0,BraTS-GoAT-02588.nii.gz,121598,12879,135285
0,BraTS-GoAT-02812.nii.gz,27080,7488,34901
0,BraTS-GoAT-02723.nii.gz,161617,27971,219547
0,BraTS-GoAT-02858.nii.gz,16182,0,16182
0,BraTS-GoAT-02637.nii.gz,51251,0,84348
0,BraTS-GoAT-02566.nii.gz,21388,5074,38786
0,BraTS-GoAT-02873.nii.gz,29,558,587
0,BraTS-GoAT-02909.nii.gz,51265,5752,57577
0,BraTS-GoAT-02585.nii.gz,2525,18431,20956
0,BraTS-GoAT-02539.nii.gz,59697,41782,154807
0,BraTS-GoAT-02848.nii.gz,65699,49302,141780
0,BraTS-GoAT-02545.nii.gz,108406,34148,176299
0,BraTS-GoAT-02687.nii.gz,35950,53170,97895
0,BraTS-GoAT-02929.nii.gz,2286,15725,18094
0,BraTS-GoAT-02790.nii.gz,64077,36691,115991
0,BraTS-GoAT-02820.nii.gz,79814,47427,172583
0,BraTS-GoAT-02800.nii.gz,19799,602,20414
0,BraTS-GoAT-02574.nii.gz,26127,118894,150243
0,BraTS-GoAT-02846.nii.gz,0,890,890
0,BraTS-GoAT-02857.nii.gz,909,2828,4085
0,BraTS-GoAT-02720.nii.gz,109832,20420,132759
0,BraTS-GoAT-02594.nii.gz,23596,14446,38798
0,BraTS-GoAT-02816.nii.gz,7424,0,27923
0,BraTS-GoAT-02521.nii.gz,111478,23963,138984
0,BraTS-GoAT-02533.nii.gz,13524,0,23227
0,BraTS-GoAT-02653.nii.gz,25516,19756,50015
0,BraTS-GoAT-02560.nii.gz,104106,0,161520
0,BraTS-GoAT-02575.nii.gz,0,2219,2219
0,BraTS-GoAT-02530.nii.gz,12174,35236,47410
0,BraTS-GoAT-02738.nii.gz,48722,0,54730
0,BraTS-GoAT-02874.nii.gz,58120,0,58120
0,BraTS-GoAT-02746.nii.gz,59,8322,8381
0,BraTS-GoAT-02548.nii.gz,587,7716,8386
0,BraTS-GoAT-02623.nii.gz,1569,4166,5778
0,BraTS-GoAT-02540.nii.gz,3869,2278,6330
0,BraTS-GoAT-02626.nii.gz,44536,10604,55184
0,BraTS-GoAT-02744.nii.gz,16,1673,1689
0,BraTS-GoAT-02598.nii.gz,35285,11317,47264
0,BraTS-GoAT-02704.nii.gz,321,6769,8030
0,BraTS-GoAT-02742.nii.gz,59042,12416,71458
0,BraTS-GoAT-02634.nii.gz,74417,62661,180711
0,BraTS-GoAT-02758.nii.gz,31316,9464,46393
0,BraTS-GoAT-02565.nii.gz,104007,50474,154578
0,BraTS-GoAT-02799.nii.gz,3069,5945,11910
0,BraTS-GoAT-02883.nii.gz,12259,798,55101
0,BraTS-GoAT-02610.nii.gz,37164,51528,90659
0,BraTS-GoAT-02531.nii.gz,131295,20763,159168
0,BraTS-GoAT-02542.nii.gz,3666,0,10244
0,BraTS-GoAT-02931.nii.gz,7684,623,8309
0,BraTS-GoAT-02513.nii.gz,54491,28177,106835
0,BraTS-GoAT-02861.nii.gz,29015,68451,110281
0,BraTS-GoAT-02794.nii.gz,2849,17614,21851
0,BraTS-GoAT-02892.nii.gz,14457,10942,25399
0,BraTS-GoAT-02829.nii.gz,16182,2978,19410
0,BraTS-GoAT-02671.nii.gz,28439,0,33213
0,BraTS-GoAT-02798.nii.gz,82639,45370,151175
0,BraTS-GoAT-02729.nii.gz,34861,31559,97032
0,BraTS-GoAT-02678.nii.gz,114247,27419,168962
0,BraTS-GoAT-02573.nii.gz,108003,10966,119481
0,BraTS-GoAT-02576.nii.gz,83362,17289,100867
0,BraTS-GoAT-02835.nii.gz,20873,10796,43051
0,BraTS-GoAT-02802.nii.gz,48387,0,94225
0,BraTS-GoAT-02563.nii.gz,127836,26474,159709
0,BraTS-GoAT-02739.nii.gz,777,622,1399
0,BraTS-GoAT-02899.nii.gz,0,0,0
0,BraTS-GoAT-02741.nii.gz,86144,4076,91084
0,BraTS-GoAT-02507.nii.gz,55075,3748,60479
0,BraTS-GoAT-02932.nii.gz,104697,14557,121197
0,BraTS-GoAT-02730.nii.gz,37515,0,46749
0,BraTS-GoAT-02907.nii.gz,10774,9701,20917
0,BraTS-GoAT-02761.nii.gz,56303,21154,77630
0,BraTS-GoAT-02924.nii.gz,123144,12684,169657
0,BraTS-GoAT-02665.nii.gz,37524,0,90798
0,BraTS-GoAT-02624.nii.gz,52310,31412,83722
0,BraTS-GoAT-02780.nii.gz,0,0,0
0,BraTS-GoAT-02701.nii.gz,29304,0,35451
0,BraTS-GoAT-02664.nii.gz,25283,0,30899
0,BraTS-GoAT-02641.nii.gz,0,0,0
0,BraTS-GoAT-02508.nii.gz,4246,4770,9018
0,BraTS-GoAT-02797.nii.gz,115050,41760,171103
0,BraTS-GoAT-02500.nii.gz,82694,19337,103191
0,BraTS-GoAT-02631.nii.gz,5040,12390,17430
0,BraTS-GoAT-02876.nii.gz,2161,46128,48375
0,BraTS-GoAT-02677.nii.gz,44345,27524,78917
0,BraTS-GoAT-02832.nii.gz,50255,18461,68717
0,BraTS-GoAT-02886.nii.gz,10406,7696,19508
0,BraTS-GoAT-02709.nii.gz,144348,61813,229569
0,BraTS-GoAT-02919.nii.gz,55106,71160,126661
0,BraTS-GoAT-02590.nii.gz,3158,0,3158
0,BraTS-GoAT-02717.nii.gz,100274,24258,129216
0,BraTS-GoAT-02546.nii.gz,4752,0,9365
0,BraTS-GoAT-02595.nii.gz,91062,41001,149371
0,BraTS-GoAT-02646.nii.gz,10076,18710,43069
0,BraTS-GoAT-02703.nii.gz,47099,34362,91771
0,BraTS-GoAT-02864.nii.gz,1192,4084,5276
0,BraTS-GoAT-02937.nii.gz,77593,18771,105291
0,BraTS-GoAT-02639.nii.gz,57171,22984,86455
0,BraTS-GoAT-02591.nii.gz,6543,14951,21494
0,BraTS-GoAT-02568.nii.gz,67,13976,14050
0,BraTS-GoAT-02793.nii.gz,5387,2896,8283
0,BraTS-GoAT-02733.nii.gz,34497,13048,48878
0,BraTS-GoAT-02629.nii.gz,100501,6495,107789
0,BraTS-GoAT-02640.nii.gz,5562,19655,36806
0,BraTS-GoAT-02625.nii.gz,75455,0,81460
0,BraTS-GoAT-02601.nii.gz,14253,31364,48079
0,BraTS-GoAT-02603.nii.gz,116203,169429,289711
0,BraTS-GoAT-02651.nii.gz,83337,8762,93335
0,BraTS-GoAT-02757.nii.gz,292,2006,2311
0,BraTS-GoAT-02561.nii.gz,5441,3212,9301
0,BraTS-GoAT-02921.nii.gz,53470,2534,56128
0,BraTS-GoAT-02850.nii.gz,40176,6166,47157
0,BraTS-GoAT-02535.nii.gz,180,1380,1560
0,BraTS-GoAT-02918.nii.gz,0,1422,1422
0,BraTS-GoAT-02662.nii.gz,31970,444,84945
0,BraTS-GoAT-02497.nii.gz,50057,70205,123039
0,BraTS-GoAT-02896.nii.gz,182817,8978,196753
0,BraTS-GoAT-02547.nii.gz,181419,29649,222855
0,BraTS-GoAT-02721.nii.gz,5657,2741,9069
0,BraTS-GoAT-02698.nii.gz,39142,34103,73254
0,BraTS-GoAT-02936.nii.gz,32554,38000,91395
0,BraTS-GoAT-02922.nii.gz,72794,5117,78018
0,BraTS-GoAT-02619.nii.gz,61157,16371,94940
0,BraTS-GoAT-02862.nii.gz,136881,40929,178719
0,BraTS-GoAT-02691.nii.gz,0,1878,1878
0,BraTS-GoAT-02828.nii.gz,89921,1285,104030
0,BraTS-GoAT-02859.nii.gz,3403,10966,17968
0,BraTS-GoAT-02934.nii.gz,884,6291,7175
0,BraTS-GoAT-02818.nii.gz,22199,6337,28646
0,BraTS-GoAT-02767.nii.gz,19982,2136,68718
0,BraTS-GoAT-02777.nii.gz,73999,20066,100236
0,BraTS-GoAT-02503.nii.gz,41278,8721,51410
0,BraTS-GoAT-02728.nii.gz,0,2137,2137
0,BraTS-GoAT-02593.nii.gz,42007,22132,77597
0,BraTS-GoAT-02692.nii.gz,1012,716,1878
0,BraTS-GoAT-02614.nii.gz,138326,67047,212220
0,BraTS-GoAT-02622.nii.gz,84016,383,229695
0,BraTS-GoAT-02636.nii.gz,46831,16034,65370
0,BraTS-GoAT-02810.nii.gz,20749,10966,31719
0,BraTS-GoAT-02684.nii.gz,176823,32951,220592
0,BraTS-GoAT-02935.nii.gz,114530,67603,183789
0,BraTS-GoAT-02600.nii.gz,12696,8723,23249
0,BraTS-GoAT-02604.nii.gz,79155,18249,99490
