,File,NCR,ED,ET,WT,ED/WT,ET/WT,TC/WT
425,BraTS-GoAT-00155.nii.gz,18272,14,20314,38600,0.000362694,0.52626943,0.999637306
1313,BraTS-GoAT-01543.nii.gz,91877,39,5789,97705,0.000399161,0.059249783,0.999600839
1230,BraTS-GoAT-02323.nii.gz,97087,58,42422,139567,0.000415571,0.303954373,0.999584429
1253,BraTS-GoAT-01316.nii.gz,3716,9,16741,20466,0.000439754,0.817990814,0.999560246
234,BraTS-GoAT-01665.nii.gz,107197,51,701,107949,0.000472445,0.006493807,0.999527555
8,BraTS-GoAT-00885.nii.gz,30833,16,313,31162,0.000513446,0.010044285,0.999486554
939,BraTS-GoAT-02400.nii.gz,182799,98,3998,186895,0.000524359,0.021391691,0.999475641
1111,BraTS-GoAT-02468.nii.gz,0,6,10025,10031,0.000598146,0.999401854,0.999401854
1047,BraTS-GoAT-00887.nii.gz,70526,47,3218,73791,0.000636934,0.043609654,0.999363066
872,BraTS-GoAT-01043.nii.gz,48100,40,8029,56169,0.000712137,0.142943617,0.999287863
75,BraTS-GoAT-02053.nii.gz,44829,33,666,45528,0.000724829,0.014628361,0.999275171
457,BraTS-GoAT-01991.nii.gz,33213,26,823,34062,0.000763314,0.024161823,0.999236686
875,BraTS-GoAT-02454.nii.gz,145974,125,14694,160793,0.000777397,0.091384575,0.999222603
406,BraTS-GoAT-01178.nii.gz,97579,79,1727,99385,0.000794889,0.017376868,0.999205111
825,BraTS-GoAT-01472.nii.gz,85909,74,5145,91128,0.000812045,0.056459047,0.999187955
452,BraTS-GoAT-01703.nii.gz,79175,80,19201,98456,0.000812546,0.195021126,0.999187454
864,BraTS-GoAT-00845.nii.gz,111650,109,18581,130340,0.000836274,0.142557925,0.999163726
383,BraTS-GoAT-00894.nii.gz,18135,16,311,18462,0.000866645,0.016845412,0.999133355
866,BraTS-GoAT-02005.nii.gz,133725,128,8510,142363,0.00089911,0.059776768,0.99910089
378,BraTS-GoAT-00432.nii.gz,88222,86,7015,95323,0.000902196,0.073591893,0.999097804
311,BraTS-GoAT-01270.nii.gz,124560,126,2197,126883,0.000993041,0.017315164,0.999006959
217,BraTS-GoAT-00410.nii.gz,5564,81,59134,64779,0.001250405,0.912857562,0.998749595
922,BraTS-GoAT-00582.nii.gz,54419,72,1317,55808,0.001290138,0.023598767,0.998709862
1144,BraTS-GoAT-00012.nii.gz,73575,99,1494,75168,0.00131705,0.019875479,0.99868295
241,BraTS-GoAT-00921.nii.gz,50367,73,2902,53342,0.001368528,0.054403659,0.998631472
1242,BraTS-GoAT-00487.nii.gz,45364,73,5953,51390,0.00142051,0.115839658,0.99857949
1174,BraTS-GoAT-00398.nii.gz,58807,93,5241,64141,0.001449931,0.081710606,0.998550069
764,BraTS-GoAT-01436.nii.gz,136649,282,45229,182160,0.00154809,0.24829271,0.99845191
896,BraTS-GoAT-02357.nii.gz,16863,36,6273,23172,0.001553599,0.270714656,0.998446401
1290,BraTS-GoAT-00657.nii.gz,20961,34,418,21413,0.00158782,0.019520852,0.99841218
45,BraTS-GoAT-01564.nii.gz,48824,86,786,49696,0.001730522,0.015816162,0.998269478
124,BraTS-GoAT-02363.nii.gz,118022,238,6048,124308,0.001914599,0.048653345,0.998085401
1192,BraTS-GoAT-02148.nii.gz,43005,87,1611,44703,0.001946178,0.03603785,0.998053822
486,BraTS-GoAT-01680.nii.gz,14657,31,1111,15799,0.00196215,0.070320906,0.99803785
1039,BraTS-GoAT-00835.nii.gz,93779,188,1231,95198,0.001974831,0.012930944,0.998025169
367,BraTS-GoAT-01151.nii.gz,46282,131,18045,64458,0.002032331,0.279949735,0.997967669
860,BraTS-GoAT-02211.nii.gz,85738,310,62561,148609,0.002086011,0.420977195,0.997913989
226,BraTS-GoAT-00890.nii.gz,23563,238,85180,108981,0.002183867,0.781604133,0.997816133
776,BraTS-GoAT-00451.nii.gz,89636,210,5942,95788,0.002192341,0.062032822,0.997807659
391,BraTS-GoAT-02020.nii.gz,7481,28,4932,12441,0.002250623,0.396431155,0.997749377
966,BraTS-GoAT-01756.nii.gz,129118,321,13165,142604,0.002250989,0.092318589,0.997749011
519,BraTS-GoAT-01346.nii.gz,54873,141,7170,62184,0.002267464,0.115302972,0.997732536
200,BraTS-GoAT-00984.nii.gz,53494,147,8505,62146,0.002365398,0.136855148,0.997634602
890,BraTS-GoAT-00446.nii.gz,12713,43,5395,18151,0.002369015,0.297228803,0.997630985
670,BraTS-GoAT-01572.nii.gz,95526,245,5680,101451,0.002414959,0.05598762,0.997585041
1110,BraTS-GoAT-01632.nii.gz,57277,162,4068,61507,0.002633847,0.066138813,0.997366153
1270,BraTS-GoAT-00382.nii.gz,16762,53,3168,19983,0.002652254,0.158534755,0.997347746
185,BraTS-GoAT-00302.nii.gz,68718,188,1562,70468,0.002667878,0.02216609,0.997332122
997,BraTS-GoAT-01631.nii.gz,136841,415,14465,151721,0.002735284,0.095339472,0.997264716
199,BraTS-GoAT-00935.nii.gz,73885,211,2668,76764,0.002748684,0.034755875,0.997251316
1091,BraTS-GoAT-00934.nii.gz,40134,125,4539,44798,0.002790303,0.101321488,0.997209697
797,BraTS-GoAT-01580.nii.gz,78022,240,6182,84444,0.00284212,0.07320828,0.99715788
921,BraTS-GoAT-01276.nii.gz,104855,329,4017,109201,0.003012793,0.036785377,0.996987207
940,BraTS-GoAT-01750.nii.gz,66055,235,8941,75231,0.003123712,0.118847284,0.996876288
307,BraTS-GoAT-00883.nii.gz,35008,148,11280,46436,0.003187182,0.24291498,0.996812818
602,BraTS-GoAT-01278.nii.gz,14524,118,21449,36091,0.003269513,0.594303289,0.996730487
282,BraTS-GoAT-00533.nii.gz,33068,115,1276,34459,0.003337299,0.037029513,0.996662701
973,BraTS-GoAT-01136.nii.gz,38411,135,691,39237,0.00344063,0.017610928,0.99655937
937,BraTS-GoAT-01877.nii.gz,37208,156,6204,43568,0.00358061,0.14239809,0.99641939
1301,BraTS-GoAT-00327.nii.gz,14046,60,2642,16748,0.003582517,0.157750179,0.996417483
176,BraTS-GoAT-02110.nii.gz,47135,217,7801,55153,0.003934509,0.141442895,0.996065491
1254,BraTS-GoAT-01260.nii.gz,38560,183,7714,46457,0.003939127,0.166046021,0.996060873
1342,BraTS-GoAT-01692.nii.gz,14908,70,2561,17539,0.003991106,0.146017447,0.996008894
448,BraTS-GoAT-01193.nii.gz,55213,280,14616,70109,0.003993781,0.208475374,0.996006219
574,BraTS-GoAT-01416.nii.gz,59489,275,8832,68596,0.00400898,0.128753863,0.99599102
889,BraTS-GoAT-00969.nii.gz,112129,527,7397,120053,0.004389728,0.061614454,0.995610272
1060,BraTS-GoAT-02222.nii.gz,60827,317,10966,72110,0.004396062,0.152073221,0.995603938
1140,BraTS-GoAT-02086.nii.gz,34822,163,1357,36342,0.004485169,0.037339717,0.995514831
1084,BraTS-GoAT-00733.nii.gz,14345,69,612,15026,0.00459204,0.040729402,0.99540796
891,BraTS-GoAT-01745.nii.gz,145732,807,29150,175689,0.004593344,0.165918185,0.995406656
1322,BraTS-GoAT-00870.nii.gz,32078,157,1211,33446,0.004694134,0.036207618,0.995305866
1003,BraTS-GoAT-01232.nii.gz,105436,522,4464,110422,0.004727319,0.040426727,0.995272681
1133,BraTS-GoAT-00970.nii.gz,173008,856,2252,176116,0.004860433,0.012787027,0.995139567
372,BraTS-GoAT-01653.nii.gz,16530,84,442,17056,0.004924953,0.025914634,0.995075047
258,BraTS-GoAT-00168.nii.gz,89499,521,13994,104014,0.005008941,0.134539581,0.994991059
1221,BraTS-GoAT-01448.nii.gz,99969,646,21937,122552,0.005271232,0.179001567,0.994728768
1115,BraTS-GoAT-02213.nii.gz,14362,99,3913,18374,0.005388048,0.212963971,0.994611952
871,BraTS-GoAT-00426.nii.gz,12856,85,2777,15718,0.005407813,0.176676422,0.994592187
1022,BraTS-GoAT-01366.nii.gz,78337,630,36472,115439,0.005457428,0.315941753,0.994542572
27,BraTS-GoAT-00691.nii.gz,3720,27,1083,4830,0.005590062,0.224223602,0.994409938
238,BraTS-GoAT-00626.nii.gz,138166,877,14795,153838,0.005700802,0.096172597,0.994299198
753,BraTS-GoAT-02297.nii.gz,9591,103,8198,17892,0.005756763,0.458193606,0.994243237
337,BraTS-GoAT-00166.nii.gz,48500,425,22791,71716,0.005926153,0.317795192,0.994073847
1327,BraTS-GoAT-01012.nii.gz,47506,317,4409,52232,0.006069076,0.084411855,0.993930924
561,BraTS-GoAT-01548.nii.gz,86809,627,14795,102231,0.006133169,0.144721268,0.993866831
840,BraTS-GoAT-02276.nii.gz,119969,779,4795,125543,0.006205045,0.038194085,0.993794955
415,BraTS-GoAT-01514.nii.gz,110150,801,16182,127133,0.006300488,0.127284025,0.993699512
134,BraTS-GoAT-00027.nii.gz,31063,255,9032,40350,0.006319703,0.223841388,0.993680297
697,BraTS-GoAT-01946.nii.gz,75076,574,15090,90740,0.006325766,0.166299317,0.993674234
883,BraTS-GoAT-01957.nii.gz,52063,510,27233,79806,0.006390497,0.341240007,0.993609503
850,BraTS-GoAT-00272.nii.gz,71603,476,2112,74191,0.006415873,0.028467065,0.993584127
967,BraTS-GoAT-01166.nii.gz,10181,71,699,10951,0.006483426,0.063829787,0.993516574
994,BraTS-GoAT-02273.nii.gz,45019,376,12057,57452,0.006544594,0.209862146,0.993455406
916,BraTS-GoAT-00424.nii.gz,65565,462,4366,70393,0.006563153,0.062023213,0.993436847
931,BraTS-GoAT-01197.nii.gz,25780,191,3113,29084,0.006567185,0.107034796,0.993432815
665,BraTS-GoAT-01124.nii.gz,138739,1012,11757,151508,0.006679515,0.077599863,0.993320485
146,BraTS-GoAT-00004.nii.gz,121742,907,12660,135309,0.006703176,0.093563621,0.993296824
261,BraTS-GoAT-02172.nii.gz,32939,291,9476,42706,0.006814031,0.221889196,0.993185969
530,BraTS-GoAT-02293.nii.gz,31038,220,552,31810,0.006916064,0.017353034,0.993083936
598,BraTS-GoAT-00607.nii.gz,67005,594,18012,85611,0.006938361,0.210393524,0.993061639
838,BraTS-GoAT-02003.nii.gz,42308,365,9109,51782,0.007048781,0.175910548,0.992951219
1262,BraTS-GoAT-00773.nii.gz,114295,1034,29264,144593,0.007151107,0.202388774,0.992848893
696,BraTS-GoAT-01153.nii.gz,35186,326,9769,45281,0.007199488,0.215741702,0.992800512
1129,BraTS-GoAT-00482.nii.gz,20734,160,1035,21929,0.007296274,0.047197775,0.992703726
229,BraTS-GoAT-01754.nii.gz,81260,622,3287,85169,0.007303127,0.038593855,0.992696873
580,BraTS-GoAT-00862.nii.gz,43082,341,1695,45118,0.007557959,0.037568155,0.992442041
412,BraTS-GoAT-01034.nii.gz,5654,52,1084,6790,0.007658321,0.159646539,0.992341679
713,BraTS-GoAT-00681.nii.gz,54079,437,1929,56445,0.00774205,0.03417486,0.99225795
918,BraTS-GoAT-02405.nii.gz,37055,309,2246,39610,0.00780106,0.056702853,0.99219894
149,BraTS-GoAT-00364.nii.gz,9611,118,5182,14911,0.007913621,0.34752867,0.992086379
1044,BraTS-GoAT-00220.nii.gz,27008,273,6878,34159,0.007992037,0.201352499,0.992007963
1051,BraTS-GoAT-02261.nii.gz,164528,1365,3321,169214,0.008066708,0.019626036,0.991933292
929,BraTS-GoAT-01176.nii.gz,72204,600,1219,74023,0.008105589,0.016467855,0.991894411
1090,BraTS-GoAT-01506.nii.gz,112936,1033,12272,126241,0.008182762,0.09721089,0.991817238
1057,BraTS-GoAT-01882.nii.gz,61676,638,15501,77815,0.008198933,0.199203238,0.991801067
720,BraTS-GoAT-01147.nii.gz,21890,275,10841,33006,0.008331818,0.328455432,0.991668182
970,BraTS-GoAT-02169.nii.gz,93290,944,16856,111090,0.008497615,0.151732829,0.991502385
55,BraTS-GoAT-01160.nii.gz,61877,682,14842,77401,0.008811256,0.191754628,0.991188744
1283,BraTS-GoAT-01077.nii.gz,43273,460,8105,51838,0.008873799,0.156352483,0.991126201
946,BraTS-GoAT-01074.nii.gz,93295,968,13597,107860,0.008974597,0.126061561,0.991025403
700,BraTS-GoAT-00875.nii.gz,43966,521,13407,57894,0.008999205,0.231578402,0.991000795
212,BraTS-GoAT-01826.nii.gz,69548,1001,35204,105753,0.009465453,0.332888901,0.990534547
520,BraTS-GoAT-01115.nii.gz,161057,1984,43350,206391,0.009612822,0.210038228,0.990387178
737,BraTS-GoAT-00505.nii.gz,25111,296,5150,30557,0.009686815,0.168537487,0.990313185
754,BraTS-GoAT-00396.nii.gz,75535,750,1128,77413,0.009688295,0.014571196,0.990311705
38,BraTS-GoAT-01362.nii.gz,52205,613,10268,63086,0.009716894,0.162761944,0.990283106
1339,BraTS-GoAT-01792.nii.gz,81619,872,6769,89260,0.009769214,0.07583464,0.990230786
1079,BraTS-GoAT-01828.nii.gz,110060,1264,14981,126305,0.010007521,0.118609715,0.989992479
504,BraTS-GoAT-00834.nii.gz,36268,384,1662,38314,0.010022446,0.0433784,0.989977554
703,BraTS-GoAT-00857.nii.gz,213963,2236,4085,220284,0.010150533,0.018544243,0.989849467
664,BraTS-GoAT-00982.nii.gz,46737,611,12417,59765,0.010223375,0.207763741,0.989776625
274,BraTS-GoAT-02446.nii.gz,31181,465,13813,45459,0.010228998,0.303856222,0.989771002
802,BraTS-GoAT-01134.nii.gz,32015,362,2477,34854,0.010386182,0.071067883,0.989613818
660,BraTS-GoAT-01236.nii.gz,21339,252,2426,24017,0.010492568,0.101011783,0.989507432
10,BraTS-GoAT-01916.nii.gz,95290,1590,50134,147014,0.010815297,0.341015141,0.989184703
29,BraTS-GoAT-00052.nii.gz,16877,208,2124,19209,0.010828258,0.110573169,0.989171742
558,BraTS-GoAT-00126.nii.gz,48139,736,17941,66816,0.011015326,0.26851353,0.988984674
265,BraTS-GoAT-01880.nii.gz,26327,343,4439,31109,0.011025748,0.142691826,0.988974252
103,BraTS-GoAT-00283.nii.gz,131017,1605,10375,142997,0.011224012,0.07255397,0.988775988
736,BraTS-GoAT-01519.nii.gz,61538,921,19581,82040,0.011226231,0.238676255,0.988773769
1240,BraTS-GoAT-00223.nii.gz,31912,379,1227,33518,0.011307357,0.036607196,0.988692643
1266,BraTS-GoAT-01696.nii.gz,52484,640,2785,55909,0.011447173,0.049813089,0.988552827
152,BraTS-GoAT-01743.nii.gz,37588,521,6473,44582,0.011686331,0.145193127,0.988313669
239,BraTS-GoAT-02206.nii.gz,116572,1541,13541,131654,0.011704924,0.102852933,0.988295076
117,BraTS-GoAT-02404.nii.gz,5774,90,1757,7621,0.011809474,0.230547172,0.988190526
322,BraTS-GoAT-00132.nii.gz,22604,482,17269,40355,0.011943997,0.427927147,0.988056003
1009,BraTS-GoAT-00932.nii.gz,102137,1365,8972,112474,0.012136138,0.079769547,0.987863862
810,BraTS-GoAT-01661.nii.gz,46154,1188,50137,97479,0.01218724,0.514336421,0.98781276
180,BraTS-GoAT-00797.nii.gz,139848,2564,64580,206992,0.012386952,0.311992734,0.987613048
1037,BraTS-GoAT-01988.nii.gz,138845,2047,23920,164812,0.012420212,0.145135063,0.987579788
39,BraTS-GoAT-02136.nii.gz,4689,134,5896,10719,0.012501166,0.550051311,0.987498834
1010,BraTS-GoAT-01376.nii.gz,88578,1233,7824,97635,0.012628668,0.080135197,0.987371332
1326,BraTS-GoAT-02127.nii.gz,53993,888,14725,69606,0.012757521,0.211547855,0.987242479
1053,BraTS-GoAT-00601.nii.gz,55239,968,16495,72702,0.013314627,0.226885093,0.986685373
303,BraTS-GoAT-01189.nii.gz,13252,208,2121,15581,0.013349592,0.136127335,0.986650408
1224,BraTS-GoAT-01392.nii.gz,108994,1637,9759,120390,0.013597475,0.08106155,0.986402525
351,BraTS-GoAT-00562.nii.gz,18041,319,5096,23456,0.013599932,0.217257844,0.986400068
1145,BraTS-GoAT-02090.nii.gz,28005,484,6645,35134,0.01377583,0.189133034,0.98622417
742,BraTS-GoAT-00359.nii.gz,31862,809,25683,58354,0.01386366,0.44012407,0.98613634
283,BraTS-GoAT-00287.nii.gz,12481,336,11239,24056,0.013967409,0.46720153,0.986032591
968,BraTS-GoAT-00917.nii.gz,25588,385,1480,27453,0.014023968,0.053910319,0.985976032
857,BraTS-GoAT-00814.nii.gz,4272,91,2124,6487,0.014028056,0.327424079,0.985971944
1294,BraTS-GoAT-01345.nii.gz,42272,730,8034,51036,0.014303629,0.157418293,0.985696371
1310,BraTS-GoAT-01675.nii.gz,55786,987,9338,66111,0.014929437,0.141247296,0.985070563
1031,BraTS-GoAT-01351.nii.gz,71407,1317,15058,87782,0.015003076,0.171538584,0.984996924
484,BraTS-GoAT-00535.nii.gz,133462,2249,13989,149700,0.01502338,0.093446894,0.98497662
156,BraTS-GoAT-02450.nii.gz,85545,1404,5348,92297,0.015211762,0.057943378,0.984788238
690,BraTS-GoAT-00764.nii.gz,86231,1603,16884,104718,0.015307779,0.161233026,0.984692221
1002,BraTS-GoAT-00826.nii.gz,79234,2410,73389,155033,0.015545077,0.473376636,0.984454923
1034,BraTS-GoAT-01845.nii.gz,145312,2868,34971,183151,0.01565921,0.190940808,0.98434079
213,BraTS-GoAT-00184.nii.gz,126649,2506,30477,159632,0.015698607,0.190920367,0.984301393
513,BraTS-GoAT-00713.nii.gz,11711,204,1037,12952,0.015750463,0.080064855,0.984249537
1278,BraTS-GoAT-02208.nii.gz,136876,2331,8408,147615,0.015791078,0.056958981,0.984208922
778,BraTS-GoAT-02044.nii.gz,65474,1331,16658,83463,0.015947186,0.199585445,0.984052814
1203,BraTS-GoAT-01307.nii.gz,124698,2383,22033,149114,0.015981061,0.147759432,0.984018939
373,BraTS-GoAT-00474.nii.gz,185290,3620,36247,225157,0.01607767,0.160985446,0.98392233
459,BraTS-GoAT-01431.nii.gz,134438,2401,11683,148522,0.016165955,0.078661747,0.983834045
430,BraTS-GoAT-00590.nii.gz,53980,1010,6612,61602,0.016395572,0.107334177,0.983604428
211,BraTS-GoAT-02215.nii.gz,106650,1932,7671,116253,0.016618926,0.065985394,0.983381074
1074,BraTS-GoAT-00318.nii.gz,113263,2391,27668,143322,0.016682714,0.193047822,0.983317286
756,BraTS-GoAT-02423.nii.gz,110127,2304,21956,134387,0.017144515,0.163378898,0.982855485
194,BraTS-GoAT-00804.nii.gz,24175,595,9541,34311,0.017341377,0.278074087,0.982658623
1033,BraTS-GoAT-01508.nii.gz,92012,1748,6149,99909,0.017495921,0.061546007,0.982504079
1330,BraTS-GoAT-00255.nii.gz,53736,1106,8219,63061,0.017538574,0.130334121,0.982461426
980,BraTS-GoAT-00722.nii.gz,7409,177,2407,9993,0.017712399,0.240868608,0.982287601
245,BraTS-GoAT-00786.nii.gz,34482,754,6934,42170,0.017880009,0.164429689,0.982119991
501,BraTS-GoAT-02482.nii.gz,41148,1107,19303,61558,0.01798304,0.31357419,0.98201696
662,BraTS-GoAT-00391.nii.gz,27503,579,3487,31569,0.018340777,0.11045646,0.981659223
